,Date,縣市,人口差
110,2016-05-01,高雄市,-323.0
111,2016-06-01,高雄市,308.0
112,2016-07-01,高雄市,193.0
113,2016-08-01,高雄市,33.0
114,2016-09-01,高雄市,14.0
115,2016-10-01,高雄市,43.0
116,2016-11-01,高雄市,395.0
117,2016-12-01,高雄市,601.0
118,2017-01-01,高雄市,-39.0
119,2017-02-01,高雄市,-280.0
120,2017-03-01,高雄市,-326.0
121,2017-04-01,高雄市,8.0
122,2017-05-01,高雄市,-319.0
123,2017-06-01,高雄市,-392.0
124,2017-07-01,高雄市,-150.0
125,2017-08-01,高雄市,-309.0
126,2017-09-01,高雄市,-543.0
127,2017-10-01,高雄市,-230.0
128,2017-11-01,高雄市,55.0
129,2017-12-01,高雄市,66.0
130,2018-01-01,高雄市,-126.0
131,2018-02-01,高雄市,-420.0
132,2018-03-01,高雄市,-431.0
133,2018-04-01,高雄市,-617.0
134,2018-05-01,高雄市,-995.0
135,2018-06-01,高雄市,-391.0
136,2018-07-01,高雄市,-426.0
137,2018-08-01,高雄市,-413.0
138,2018-09-01,高雄市,-273.0
139,2018-10-01,高雄市,-196.0
140,2018-11-01,高雄市,377.0
141,2018-12-01,高雄市,532.0
142,2019-01-01,高雄市,74.0
143,2019-02-01,高雄市,-11.0
144,2019-03-01,高雄市,-325.0
145,2019-04-01,高雄市,-42.0
146,2019-05-01,高雄市,-203.0
147,2019-06-01,高雄市,151.0
148,2019-07-01,高雄市,414.0
149,2019-08-01,高雄市,195.0
151,2007-04-01,雲林縣,-284.0
152,2007-05-01,雲林縣,-176.0
153,2007-06-01,雲林縣,-118.0
154,2007-07-01,雲林縣,-291.0
155,2007-08-01,雲林縣,-263.0
156,2007-09-01,雲林縣,-365.0
157,2007-10-01,雲林縣,-19.0
158,2007-11-01,雲林縣,-171.0
159,2007-12-01,雲林縣,-87.0
160,2008-01-01,雲林縣,-296.0
161,2008-02-01,雲林縣,51.0
162,2008-03-01,雲林縣,-49.0
163,2008-04-01,雲林縣,113.0
164,2008-05-01,雲林縣,-23.0
165,2008-06-01,雲林縣,-231.0
166,2008-07-01,雲林縣,-243.0
167,2008-08-01,雲林縣,-356.0
168,2008-09-01,雲林縣,-304.0
169,2008-10-01,雲林縣,-23.0
170,2008-11-01,雲林縣,-73.0
171,2008-12-01,雲林縣,-564.0
172,2009-01-01,雲林縣,26.0
173,2009-02-01,雲林縣,-251.0
174,2009-03-01,雲林縣,-175.0
175,2009-04-01,雲林縣,-303.0
176,2009-05-01,雲林縣,67.0
177,2009-06-01,雲林縣,27.0
178,2009-07-01,雲林縣,46.0
179,2009-08-01,雲林縣,-253.0
180,2009-09-01,雲林縣,-251.0
181,2009-10-01,雲林縣,224.0
182,2009-11-01,雲林縣,-54.0
183,2009-12-01,雲林縣,18.0
184,2010-01-01,雲林縣,-107.0
185,2010-02-01,雲林縣,-73.0
186,2010-03-01,雲林縣,-831.0
187,2010-04-01,雲林縣,-663.0
188,2010-05-01,雲林縣,-652.0
189,2010-06-01,雲林縣,-1798.0
190,2010-07-01,雲林縣,-440.0
191,2010-08-01,雲林縣,-35.0
192,2010-09-01,雲林縣,-142.0
193,2010-10-01,雲林縣,-139.0
194,2010-11-01,雲林縣,-152.0
195,2010-12-01,雲林縣,-110.0
196,2011-01-01,雲林縣,-522.0
197,2011-02-01,雲林縣,-304.0
198,2011-03-01,雲林縣,-370.0
199,2011-04-01,雲林縣,-356.0
200,2011-05-01,雲林縣,-331.0
201,2011-06-01,雲林縣,-482.0
202,2011-07-01,雲林縣,-412.0
203,2011-08-01,雲林縣,-337.0
204,2011-09-01,雲林縣,-294.0
205,2011-10-01,雲林縣,-167.0
206,2011-11-01,雲林縣,-322.0
207,2011-12-01,雲林縣,-200.0
208,2012-01-01,雲林縣,-261.0
209,2012-02-01,雲林縣,-306.0
210,2012-03-01,雲林縣,-242.0
211,2012-04-01,雲林縣,-218.0
212,2012-05-01,雲林縣,-427.0
213,2012-06-01,雲林縣,-215.0
214,2012-07-01,雲林縣,-349.0
215,2012-08-01,雲林縣,-144.0
216,2012-09-01,雲林縣,-353.0
217,2012-10-01,雲林縣,142.0
218,2012-11-01,雲林縣,-183.0
219,2012-12-01,雲林縣,-9.0
220,2013-01-01,雲林縣,-162.0
221,2013-02-01,雲林縣,-255.0
222,2013-03-01,雲林縣,-305.0
223,2013-04-01,雲林縣,-455.0
224,2013-05-01,雲林縣,-116.0
225,2013-06-01,雲林縣,-207.0
226,2013-07-01,雲林縣,-289.0
227,2013-08-01,雲林縣,-338.0
228,2013-09-01,雲林縣,-290.0
229,2013-10-01,雲林縣,-201.0
230,2013-11-01,雲林縣,-329.0
231,2013-12-01,雲林縣,-252.0
232,2014-01-01,雲林縣,-403.0
233,2014-02-01,雲林縣,-201.0
234,2014-03-01,雲林縣,-230.0
235,2014-04-01,雲林縣,193.0
236,2014-05-01,雲林縣,48.0
237,2014-06-01,雲林縣,83.0
238,2014-07-01,雲林縣,-83.0
239,2014-08-01,雲林縣,-258.0
240,2014-09-01,雲林縣,-253.0
241,2014-10-01,雲林縣,-54.0
242,2014-11-01,雲林縣,-460.0
243,2014-12-01,雲林縣,-818.0
244,2015-01-01,雲林縣,-572.0
245,2015-02-01,雲林縣,-543.0
246,2015-03-01,雲林縣,-834.0
247,2015-04-01,雲林縣,-526.0
248,2015-05-01,雲林縣,-577.0
249,2015-06-01,雲林縣,-406.0
250,2015-07-01,雲林縣,-618.0
251,2015-08-01,雲林縣,-434.0
252,2015-09-01,雲林縣,-409.0
253,2015-10-01,雲林縣,-310.0
254,2015-11-01,雲林縣,-334.0
255,2015-12-01,雲林縣,-160.0
256,2016-01-01,雲林縣,-397.0
257,2016-02-01,雲林縣,-483.0
258,2016-03-01,雲林縣,-566.0
259,2016-04-01,雲林縣,-435.0
260,2016-05-01,雲林縣,-434.0
261,2016-06-01,雲林縣,-213.0
262,2016-07-01,雲林縣,-414.0
263,2016-08-01,雲林縣,-376.0
264,2016-09-01,雲林縣,-390.0
265,2016-10-01,雲林縣,-297.0
266,2016-11-01,雲林縣,-433.0
267,2016-12-01,雲林縣,-322.0
268,2017-01-01,雲林縣,-354.0
269,2017-02-01,雲林縣,-532.0
270,2017-03-01,雲林縣,-462.0
271,2017-04-01,雲林縣,-316.0
272,2017-05-01,雲林縣,-391.0
273,2017-06-01,雲林縣,-248.0
274,2017-07-01,雲林縣,-496.0
275,2017-08-01,雲林縣,-401.0
276,2017-09-01,雲林縣,-325.0
277,2017-10-01,雲林縣,-327.0
278,2017-11-01,雲林縣,-359.0
279,2017-12-01,雲林縣,-289.0
280,2018-01-01,雲林縣,-512.0
281,2018-02-01,雲林縣,-398.0
282,2018-03-01,雲林縣,-365.0
283,2018-04-01,雲林縣,-95.0
284,2018-05-01,雲林縣,-222.0
285,2018-06-01,雲林縣,-64.0
286,2018-07-01,雲林縣,-158.0
287,2018-08-01,雲林縣,-478.0
288,2018-09-01,雲林縣,-435.0
289,2018-10-01,雲林縣,-451.0
290,2018-11-01,雲林縣,-521.0
291,2018-12-01,雲林縣,-652.0
292,2019-01-01,雲林縣,-668.0
293,2019-02-01,雲林縣,-595.0
294,2019-03-01,雲林縣,-518.0
295,2019-04-01,雲林縣,-343.0
296,2019-05-01,雲林縣,-309.0
297,2019-06-01,雲林縣,-271.0
298,2019-07-01,雲林縣,-406.0
299,2019-08-01,雲林縣,-335.0
301,2007-04-01,金門縣,534.0
302,2007-05-01,金門縣,300.0
303,2007-06-01,金門縣,316.0
304,2007-07-01,金門縣,422.0
305,2007-08-01,金門縣,420.0
306,2007-09-01,金門縣,326.0
307,2007-10-01,金門縣,445.0
308,2007-11-01,金門縣,465.0
309,2007-12-01,金門縣,446.0
310,2008-01-01,金門縣,356.0
311,2008-02-01,金門縣,160.0
312,2008-03-01,金門縣,260.0
313,2008-04-01,金門縣,445.0
314,2008-05-01,金門縣,310.0
315,2008-06-01,金門縣,147.0
316,2008-07-01,金門縣,104.0
317,2008-08-01,金門縣,168.0
318,2008-09-01,金門縣,122.0
319,2008-10-01,金門縣,116.0
320,2008-11-01,金門縣,373.0
321,2008-12-01,金門縣,462.0
322,2009-01-01,金門縣,271.0
323,2009-02-01,金門縣,714.0
324,2009-03-01,金門縣,709.0
325,2009-04-01,金門縣,1192.0
326,2009-05-01,金門縣,678.0
327,2009-06-01,金門縣,1337.0
328,2009-07-01,金門縣,1060.0
329,2009-08-01,金門縣,730.0
330,2009-09-01,金門縣,629.0
331,2009-10-01,金門縣,712.0
332,2009-11-01,金門縣,505.0
333,2009-12-01,金門縣,696.0
334,2010-01-01,金門縣,402.0
335,2010-02-01,金門縣,269.0
336,2010-03-01,金門縣,227.0
337,2010-04-01,金門縣,210.0
338,2010-05-01,金門縣,127.0
339,2010-06-01,金門縣,107.0
340,2010-07-01,金門縣,264.0
341,2010-08-01,金門縣,374.0
342,2010-09-01,金門縣,308.0
343,2010-10-01,金門縣,531.0
344,2010-11-01,金門縣,359.0
345,2010-12-01,金門縣,383.0
346,2011-01-01,金門縣,369.0
347,2011-02-01,金門縣,236.0
348,2011-03-01,金門縣,217.0
349,2011-04-01,金門縣,455.0
350,2011-05-01,金門縣,637.0
351,2011-06-01,金門縣,413.0
352,2011-07-01,金門縣,557.0
353,2011-08-01,金門縣,846.0
354,2011-09-01,金門縣,970.0
355,2011-10-01,金門縣,763.0
356,2011-11-01,金門縣,513.0
357,2011-12-01,金門縣,543.0
358,2012-01-01,金門縣,655.0
359,2012-02-01,金門縣,896.0
360,2012-03-01,金門縣,924.0
361,2012-04-01,金門縣,840.0
362,2012-05-01,金門縣,448.0
363,2012-06-01,金門縣,501.0
364,2012-07-01,金門縣,816.0
365,2012-08-01,金門縣,765.0
366,2012-09-01,金門縣,1123.0
367,2012-10-01,金門縣,924.0
368,2012-11-01,金門縣,669.0
369,2012-12-01,金門縣,667.0
370,2013-01-01,金門縣,644.0
371,2013-02-01,金門縣,436.0
372,2013-03-01,金門縣,676.0
373,2013-04-01,金門縣,734.0
374,2013-05-01,金門縣,567.0
375,2013-06-01,金門縣,402.0
376,2013-07-01,金門縣,659.0
377,2013-08-01,金門縣,616.0
378,2013-09-01,金門縣,1079.0
379,2013-10-01,金門縣,610.0
380,2013-11-01,金門縣,503.0
381,2013-12-01,金門縣,676.0
382,2014-01-01,金門縣,548.0
383,2014-02-01,金門縣,488.0
384,2014-03-01,金門縣,547.0
385,2014-04-01,金門縣,660.0
386,2014-05-01,金門縣,556.0
387,2014-06-01,金門縣,435.0
388,2014-07-01,金門縣,669.0
389,2014-08-01,金門縣,473.0
390,2014-09-01,金門縣,1067.0
391,2014-10-01,金門縣,406.0
392,2014-11-01,金門縣,402.0
393,2014-12-01,金門縣,759.0
394,2015-01-01,金門縣,464.0
395,2015-02-01,金門縣,290.0
396,2015-03-01,金門縣,447.0
397,2015-04-01,金門縣,499.0
398,2015-05-01,金門縣,216.0
399,2015-06-01,金門縣,192.0
400,2015-07-01,金門縣,630.0
401,2015-08-01,金門縣,638.0
402,2015-09-01,金門縣,806.0
403,2015-10-01,金門縣,364.0
404,2015-11-01,金門縣,263.0
405,2015-12-01,金門縣,267.0
406,2016-01-01,金門縣,196.0
407,2016-02-01,金門縣,-35.0
408,2016-03-01,金門縣,38.0
409,2016-04-01,金門縣,88.0
410,2016-05-01,金門縣,64.0
411,2016-06-01,金門縣,35.0
412,2016-07-01,金門縣,263.0
413,2016-08-01,金門縣,208.0
414,2016-09-01,金門縣,763.0
415,2016-10-01,金門縣,268.0
416,2016-11-01,金門縣,171.0
417,2016-12-01,金門縣,256.0
418,2017-01-01,金門縣,109.0
419,2017-02-01,金門縣,12.0
420,2017-03-01,金門縣,107.0
421,2017-04-01,金門縣,98.0
422,2017-05-01,金門縣,95.0
423,2017-06-01,金門縣,28.0
424,2017-07-01,金門縣,253.0
425,2017-08-01,金門縣,188.0
426,2017-09-01,金門縣,808.0
427,2017-10-01,金門縣,230.0
428,2017-11-01,金門縣,213.0
429,2017-12-01,金門縣,201.0
430,2018-01-01,金門縣,121.0
431,2018-02-01,金門縣,48.0
432,2018-03-01,金門縣,17.0
433,2018-04-01,金門縣,88.0
434,2018-05-01,金門縣,130.0
435,2018-06-01,金門縣,-23.0
436,2018-07-01,金門縣,115.0
437,2018-08-01,金門縣,74.0
438,2018-09-01,金門縣,698.0
439,2018-10-01,金門縣,121.0
440,2018-11-01,金門縣,118.0
441,2018-12-01,金門縣,310.0
442,2019-01-01,金門縣,211.0
443,2019-02-01,金門縣,-58.0
444,2019-03-01,金門縣,-39.0
445,2019-04-01,金門縣,77.0
446,2019-05-01,金門縣,-24.0
447,2019-06-01,金門縣,-159.0
448,2019-07-01,金門縣,84.0
449,2019-08-01,金門縣,-46.0
451,2007-04-01,連江縣,-10.0
452,2007-05-01,連江縣,-1.0
453,2007-06-01,連江縣,24.0
454,2007-07-01,連江縣,38.0
455,2007-08-01,連江縣,11.0
456,2007-09-01,連江縣,15.0
457,2007-10-01,連江縣,42.0
458,2007-11-01,連江縣,16.0
459,2007-12-01,連江縣,10.0
460,2008-01-01,連江縣,8.0
461,2008-02-01,連江縣,0.0
462,2008-03-01,連江縣,24.0
463,2008-04-01,連江縣,8.0
464,2008-05-01,連江縣,-28.0
465,2008-06-01,連江縣,-17.0
466,2008-07-01,連江縣,-57.0
467,2008-08-01,連江縣,-29.0
468,2008-09-01,連江縣,-23.0
469,2008-10-01,連江縣,-1.0
470,2008-11-01,連江縣,-24.0
471,2008-12-01,連江縣,-52.0
472,2009-01-01,連江縣,-5.0
473,2009-02-01,連江縣,18.0
474,2009-03-01,連江縣,-7.0
475,2009-04-01,連江縣,10.0
476,2009-05-01,連江縣,8.0
477,2009-06-01,連江縣,19.0
478,2009-07-01,連江縣,63.0
479,2009-08-01,連江縣,-1.0
480,2009-09-01,連江縣,22.0
481,2009-10-01,連江縣,8.0
482,2009-11-01,連江縣,9.0
483,2009-12-01,連江縣,20.0
484,2010-01-01,連江縣,83.0
485,2010-02-01,連江縣,42.0
486,2010-03-01,連江縣,-28.0
487,2010-04-01,連江縣,-6.0
488,2010-05-01,連江縣,-25.0
489,2010-06-01,連江縣,-56.0
490,2010-07-01,連江縣,-3.0
491,2010-08-01,連江縣,23.0
492,2010-09-01,連江縣,8.0
493,2010-10-01,連江縣,-26.0
494,2010-11-01,連江縣,13.0
495,2010-12-01,連江縣,0.0
496,2011-01-01,連江縣,15.0
497,2011-02-01,連江縣,-22.0
498,2011-03-01,連江縣,33.0
499,2011-04-01,連江縣,21.0
500,2011-05-01,連江縣,0.0
501,2011-06-01,連江縣,19.0
502,2011-07-01,連江縣,-19.0
503,2011-08-01,連江縣,19.0
504,2011-09-01,連江縣,48.0
505,2011-10-01,連江縣,26.0
506,2011-11-01,連江縣,20.0
507,2011-12-01,連江縣,2.0
508,2012-01-01,連江縣,27.0
509,2012-02-01,連江縣,2.0
510,2012-03-01,連江縣,-4.0
511,2012-04-01,連江縣,-6.0
512,2012-05-01,連江縣,47.0
513,2012-06-01,連江縣,81.0
514,2012-07-01,連江縣,371.0
515,2012-08-01,連江縣,170.0
516,2012-09-01,連江縣,143.0
517,2012-10-01,連江縣,121.0
518,2012-11-01,連江縣,138.0
519,2012-12-01,連江縣,114.0
520,2013-01-01,連江縣,107.0
521,2013-02-01,連江縣,95.0
522,2013-03-01,連江縣,83.0
523,2013-04-01,連江縣,42.0
524,2013-05-01,連江縣,65.0
525,2013-06-01,連江縣,69.0
526,2013-07-01,連江縣,98.0
527,2013-08-01,連江縣,86.0
528,2013-09-01,連江縣,86.0
529,2013-10-01,連江縣,38.0
530,2013-11-01,連江縣,32.0
531,2013-12-01,連江縣,54.0
532,2014-01-01,連江縣,30.0
533,2014-02-01,連江縣,33.0
534,2014-03-01,連江縣,83.0
535,2014-04-01,連江縣,31.0
536,2014-05-01,連江縣,23.0
537,2014-06-01,連江縣,61.0
538,2014-07-01,連江縣,35.0
539,2014-08-01,連江縣,-23.0
540,2014-09-01,連江縣,43.0
541,2014-10-01,連江縣,31.0
542,2014-11-01,連江縣,16.0
543,2014-12-01,連江縣,-22.0
544,2015-01-01,連江縣,32.0
545,2015-02-01,連江縣,-4.0
546,2015-03-01,連江縣,-30.0
547,2015-04-01,連江縣,-19.0
548,2015-05-01,連江縣,-9.0
549,2015-06-01,連江縣,20.0
550,2015-07-01,連江縣,10.0
551,2015-08-01,連江縣,18.0
552,2015-09-01,連江縣,21.0
553,2015-10-01,連江縣,2.0
554,2015-11-01,連江縣,-1.0
555,2015-12-01,連江縣,1.0
556,2016-01-01,連江縣,-14.0
557,2016-02-01,連江縣,-10.0
558,2016-03-01,連江縣,7.0
559,2016-04-01,連江縣,-8.0
560,2016-05-01,連江縣,-4.0
561,2016-06-01,連江縣,18.0
562,2016-07-01,連江縣,-5.0
563,2016-08-01,連江縣,19.0
564,2016-09-01,連江縣,36.0
565,2016-10-01,連江縣,12.0
566,2016-11-01,連江縣,10.0
567,2016-12-01,連江縣,-13.0
568,2017-01-01,連江縣,54.0
569,2017-02-01,連江縣,1.0
570,2017-03-01,連江縣,28.0
571,2017-04-01,連江縣,9.0
572,2017-05-01,連江縣,9.0
573,2017-06-01,連江縣,20.0
574,2017-07-01,連江縣,11.0
575,2017-08-01,連江縣,29.0
576,2017-09-01,連江縣,10.0
577,2017-10-01,連江縣,57.0
578,2017-11-01,連江縣,18.0
579,2017-12-01,連江縣,39.0
580,2018-01-01,連江縣,26.0
581,2018-02-01,連江縣,-4.0
582,2018-03-01,連江縣,21.0
583,2018-04-01,連江縣,35.0
584,2018-05-01,連江縣,45.0
585,2018-06-01,連江縣,41.0
586,2018-07-01,連江縣,32.0
587,2018-08-01,連江縣,-2.0
588,2018-09-01,連江縣,-16.0
589,2018-10-01,連江縣,4.0
590,2018-11-01,連江縣,-20.0
591,2018-12-01,連江縣,14.0
592,2019-01-01,連江縣,23.0
593,2019-02-01,連江縣,-6.0
594,2019-03-01,連江縣,-20.0
595,2019-04-01,連江縣,3.0
596,2019-05-01,連江縣,39.0
597,2019-06-01,連江縣,0.0
598,2019-07-01,連江縣,-33.0
599,2019-08-01,連江縣,11.0
601,2007-04-01,苗栗縣,31.0
602,2007-05-01,苗栗縣,78.0
603,2007-06-01,苗栗縣,-42.0
604,2007-07-01,苗栗縣,74.0
605,2007-08-01,苗栗縣,38.0
606,2007-09-01,苗栗縣,-86.0
607,2007-10-01,苗栗縣,154.0
608,2007-11-01,苗栗縣,94.0
609,2007-12-01,苗栗縣,113.0
610,2008-01-01,苗栗縣,34.0
611,2008-02-01,苗栗縣,-38.0
612,2008-03-01,苗栗縣,-17.0
613,2008-04-01,苗栗縣,-222.0
614,2008-05-01,苗栗縣,-59.0
615,2008-06-01,苗栗縣,-10.0
616,2008-07-01,苗栗縣,63.0
617,2008-08-01,苗栗縣,-10.0
618,2008-09-01,苗栗縣,55.0
619,2008-10-01,苗栗縣,208.0
620,2008-11-01,苗栗縣,230.0
621,2008-12-01,苗栗縣,0.0
622,2009-01-01,苗栗縣,219.0
623,2009-02-01,苗栗縣,-68.0
624,2009-03-01,苗栗縣,96.0
625,2009-04-01,苗栗縣,2.0
626,2009-05-01,苗栗縣,-15.0
627,2009-06-01,苗栗縣,-50.0
628,2009-07-01,苗栗縣,213.0
629,2009-08-01,苗栗縣,181.0
630,2009-09-01,苗栗縣,122.0
631,2009-10-01,苗栗縣,218.0
632,2009-11-01,苗栗縣,234.0
633,2009-12-01,苗栗縣,195.0
634,2010-01-01,苗栗縣,202.0
635,2010-02-01,苗栗縣,0.0
636,2010-03-01,苗栗縣,-324.0
637,2010-04-01,苗栗縣,-230.0
638,2010-05-01,苗栗縣,-73.0
639,2010-06-01,苗栗縣,-1398.0
640,2010-07-01,苗栗縣,293.0
641,2010-08-01,苗栗縣,347.0
642,2010-09-01,苗栗縣,-4.0
643,2010-10-01,苗栗縣,60.0
644,2010-11-01,苗栗縣,178.0
645,2010-12-01,苗栗縣,173.0
646,2011-01-01,苗栗縣,48.0
647,2011-02-01,苗栗縣,-126.0
648,2011-03-01,苗栗縣,-88.0
649,2011-04-01,苗栗縣,-11.0
650,2011-05-01,苗栗縣,-25.0
651,2011-06-01,苗栗縣,47.0
652,2011-07-01,苗栗縣,127.0
653,2011-08-01,苗栗縣,286.0
654,2011-09-01,苗栗縣,69.0
655,2011-10-01,苗栗縣,228.0
656,2011-11-01,苗栗縣,310.0
657,2011-12-01,苗栗縣,177.0
658,2012-01-01,苗栗縣,154.0
659,2012-02-01,苗栗縣,26.0
660,2012-03-01,苗栗縣,69.0
661,2012-04-01,苗栗縣,113.0
662,2012-05-01,苗栗縣,135.0
663,2012-06-01,苗栗縣,177.0
664,2012-07-01,苗栗縣,78.0
665,2012-08-01,苗栗縣,126.0
666,2012-09-01,苗栗縣,125.0
667,2012-10-01,苗栗縣,287.0
668,2012-11-01,苗栗縣,360.0
669,2012-12-01,苗栗縣,316.0
670,2013-01-01,苗栗縣,247.0
671,2013-02-01,苗栗縣,120.0
672,2013-03-01,苗栗縣,43.0
673,2013-04-01,苗栗縣,-32.0
674,2013-05-01,苗栗縣,138.0
675,2013-06-01,苗栗縣,155.0
676,2013-07-01,苗栗縣,159.0
677,2013-08-01,苗栗縣,217.0
678,2013-09-01,苗栗縣,84.0
679,2013-10-01,苗栗縣,145.0
680,2013-11-01,苗栗縣,117.0
681,2013-12-01,苗栗縣,185.0
682,2014-01-01,苗栗縣,107.0
683,2014-02-01,苗栗縣,5.0
684,2014-03-01,苗栗縣,27.0
685,2014-04-01,苗栗縣,272.0
686,2014-05-01,苗栗縣,297.0
687,2014-06-01,苗栗縣,184.0
688,2014-07-01,苗栗縣,258.0
689,2014-08-01,苗栗縣,114.0
690,2014-09-01,苗栗縣,100.0
691,2014-10-01,苗栗縣,126.0
692,2014-11-01,苗栗縣,158.0
693,2014-12-01,苗栗縣,-70.0
694,2015-01-01,苗栗縣,-40.0
695,2015-02-01,苗栗縣,-88.0
696,2015-03-01,苗栗縣,-419.0
697,2015-04-01,苗栗縣,-386.0
698,2015-05-01,苗栗縣,-404.0
699,2015-06-01,苗栗縣,-91.0
700,2015-07-01,苗栗縣,-404.0
701,2015-08-01,苗栗縣,-445.0
702,2015-09-01,苗栗縣,-306.0
703,2015-10-01,苗栗縣,-244.0
704,2015-11-01,苗栗縣,-194.0
705,2015-12-01,苗栗縣,-199.0
706,2016-01-01,苗栗縣,-423.0
707,2016-02-01,苗栗縣,-405.0
708,2016-03-01,苗栗縣,-611.0
709,2016-04-01,苗栗縣,-340.0
710,2016-05-01,苗栗縣,-378.0
711,2016-06-01,苗栗縣,-260.0
712,2016-07-01,苗栗縣,-357.0
713,2016-08-01,苗栗縣,-393.0
714,2016-09-01,苗栗縣,-474.0
715,2016-10-01,苗栗縣,-385.0
716,2016-11-01,苗栗縣,-329.0
717,2016-12-01,苗栗縣,-368.0
718,2017-01-01,苗栗縣,-410.0
719,2017-02-01,苗栗縣,-406.0
720,2017-03-01,苗栗縣,-632.0
721,2017-04-01,苗栗縣,-516.0
722,2017-05-01,苗栗縣,-587.0
723,2017-06-01,苗栗縣,-314.0
724,2017-07-01,苗栗縣,-352.0
725,2017-08-01,苗栗縣,-487.0
726,2017-09-01,苗栗縣,-436.0
727,2017-10-01,苗栗縣,-397.0
728,2017-11-01,苗栗縣,-385.0
729,2017-12-01,苗栗縣,-460.0
730,2018-01-01,苗栗縣,-562.0
731,2018-02-01,苗栗縣,-438.0
732,2018-03-01,苗栗縣,-646.0
733,2018-04-01,苗栗縣,-370.0
734,2018-05-01,苗栗縣,-454.0
735,2018-06-01,苗栗縣,-255.0
736,2018-07-01,苗栗縣,-257.0
737,2018-08-01,苗栗縣,-439.0
738,2018-09-01,苗栗縣,-301.0
